iter	Passed	Remaining
0	195	195532
1	196	98168
2	197	65694
3	198	49454
4	199	39728
5	200	33251
6	201	28613
7	202	25135
8	203	22421
9	204	20249
10	205	18471
11	206	17002
12	207	15759
13	208	14685
14	209	13752
15	210	12936
16	211	12216
17	212	11576
18	213	11007
19	214	10500
20	215	10039
21	216	9615
22	217	9231
23	218	8904
24	220	8581
25	221	8283
26	222	8008
27	223	7747
28	224	7507
29	225	7280
30	226	7084
31	227	6883
32	228	6692
33	229	6512
34	230	6342
35	231	6186
36	232	6047
37	233	5908
38	234	5772
39	235	5643
40	235	5517
41	236	5401
42	237	5290
43	238	5188
44	239	5086
45	240	4987
46	241	4891
47	242	4800
48	243	4717
49	244	4637
50	245	4561
51	246	4485
52	246	4409
53	247	4337
54	248	4269
55	249	4204
56	250	4142
57	251	4082
58	252	4026
59	253	3968
60	254	3911
61	254	3856
62	255	3804
63	256	3754
64	257	3705
65	258	3655
66	259	3609
67	259	3562
68	260	3519
69	261	3476
70	262	3439
71	263	3401
72	264	3362
73	265	3323
74	266	3285
75	267	3250
76	268	3216
77	269	3182
78	270	3147
79	270	3114
80	271	3081
81	272	3049
82	272	3014
83	273	2985
84	274	2958
85	275	2930
86	276	2902
87	277	2875
88	278	2848
89	279	2821
90	280	2797
91	281	2774
92	282	2750
93	282	2727
94	283	2704
95	284	2680
96	285	2658
97	286	2636
98	287	2617
99	288	2597
100	289	2576
101	290	2555
102	291	2534
103	291	2515
104	292	2496
105	293	2478
106	294	2461
107	295	2443
108	296	2425
109	297	2406
110	298	2389
111	299	2372
112	300	2356
113	301	2340
114	302	2324
115	302	2308
116	303	2290
117	304	2274
118	305	2260
119	306	2245
120	307	2232
121	307	2216
122	308	2201
123	309	2187
124	310	2172
125	311	2159
126	312	2145
127	313	2133
128	313	2119
129	314	2106
130	315	2093
131	316	2080
132	317	2068
133	318	2056
134	319	2045
135	320	2034
136	321	2022
137	321	2010
138	322	1998
139	323	1987
140	324	1977
141	325	1965
142	326	1955
143	327	1944
144	327	1933
145	328	1922
146	329	1912
147	330	1902
148	331	1892
149	332	1882
150	333	1873
151	334	1863
152	334	1853
153	335	1844
154	336	1835
155	337	1825
156	338	1817
157	339	1808
158	340	1799
159	341	1790
160	341	1780
161	342	1771
162	343	1763
163	344	1756
164	345	1748
165	346	1739
166	347	1731
167	347	1722
168	348	1714
169	349	1706
170	350	1700
171	351	1692
172	352	1685
173	353	1677
174	354	1669
175	354	1661
176	355	1654
177	356	1647
178	357	1640
179	358	1634
180	359	1626
181	360	1619
182	361	1612
183	362	1605
184	363	1599
185	363	1592
186	364	1585
187	365	1578
188	366	1572
189	367	1565
190	368	1560
191	369	1554
192	370	1548
193	371	1542
194	372	1535
195	372	1529
196	373	1523
197	374	1517
198	375	1511
199	376	1504
200	377	1499
201	378	1493
202	378	1487
203	379	1481
204	380	1475
205	381	1469
206	382	1465
207	383	1460
208	384	1454
209	384	1448
210	385	1442
211	386	1437
212	387	1432
213	388	1427
214	389	1422
215	390	1417
216	391	1412
217	392	1406
218	393	1402
219	394	1397
220	395	1392
221	395	1387
222	396	1382
223	397	1377
224	398	1372
225	399	1367
226	400	1362
227	401	1358
228	402	1354
229	402	1349
230	403	1344
231	404	1339
232	405	1334
233	406	1329
234	407	1325
235	407	1320
236	408	1316
237	409	1311
238	410	1306
239	411	1302
240	412	1297
241	412	1293
