iter	Passed	Remaining
0	128	128399
1	131	65529
2	132	44147
3	135	33711
4	147	29431
5	149	24776
6	152	21652
7	155	19235
8	156	17249
9	159	15830
10	162	14603
11	164	13506
12	166	12666
13	169	11911
14	170	11225
15	174	10739
16	177	10240
17	178	9735
18	180	9294
19	182	8922
20	184	8609
21	186	8291
22	189	8043
23	191	7788
24	192	7518
25	194	7285
26	197	7115
27	200	6952
28	202	6772
29	204	6623
30	208	6516
31	210	6357
32	211	6192
33	213	6058
34	216	5967
35	218	5841
36	220	5739
37	222	5632
38	225	5553
39	228	5473
40	229	5376
41	231	5277
42	233	5202
43	236	5146
44	238	5059
45	240	4979
46	242	4910
47	244	4849
48	246	4779
49	250	4758
50	252	4694
51	254	4636
52	256	4581
53	258	4526
54	260	4478
55	263	4434
56	268	4437
57	271	4401
58	273	4361
59	274	4304
60	279	4295
61	281	4255
62	282	4208
63	284	4162
64	286	4115
65	287	4073
66	289	4032
67	291	3991
68	294	3979
69	296	3937
70	298	3903
71	299	3860
72	303	3853
73	304	3813
74	305	3773
75	307	3735
76	309	3708
77	310	3671
78	311	3634
79	313	3606
80	316	3588
81	317	3556
82	318	3518
83	320	3490
84	322	3476
85	324	3447
86	325	3417
87	326	3385
88	327	3354
89	329	3326
90	330	3300
91	331	3272
92	332	3243
93	333	3215
94	335	3194
95	336	3173
96	338	3150
97	339	3124
98	340	3101
99	342	3078
100	343	3056
101	344	3034
102	345	3010
103	346	2989
104	348	2968
105	349	2946
106	350	2924
107	351	2904
108	353	2888
109	354	2870
110	355	2850
111	356	2830
112	358	2810
113	361	2810
114	362	2792
115	363	2772
116	364	2751
117	366	2741
118	368	2725
119	369	2708
120	370	2690
121	371	2670
122	372	2655
123	373	2639
124	375	2627
125	376	2610
126	377	2592
127	378	2579
128	380	2567
129	381	2551
130	382	2535
131	383	2520
132	385	2513
133	386	2499
134	387	2484
135	388	2468
136	389	2454
137	391	2445
138	393	2434
139	394	2423
140	395	2409
141	396	2396
142	397	2384
143	399	2374
144	400	2364
145	401	2351
146	403	2341
147	404	2330
148	405	2317
149	406	2305
150	408	2294
151	409	2284
152	411	2275
153	412	2264
154	413	2251
155	414	2240
156	415	2231
157	416	2222
158	418	2210
159	419	2199
160	419	2187
161	420	2176
162	422	2170
163	424	2162
164	425	2153
165	426	2142
166	428	2135
167	429	2125
168	430	2118
169	431	2108
170	432	2098
171	434	2090
172	435	2083
173	436	2074
174	438	2065
175	439	2055
176	440	2047
177	441	2040
178	442	2030
179	443	2021
180	444	2012
181	446	2007
182	448	2000
183	449	1991
184	450	1984
185	451	1976
186	452	1969
187	454	1961
188	455	1955
189	457	1951
190	459	1947
191	461	1941
192	462	1933
193	463	1925
194	465	1920
195	467	1917
196	468	1910
197	470	1904
198	471	1898
199	473	1893
200	474	1887
201	476	1884
202	478	1880
203	480	1873
204	481	1867
205	483	1864
206	485	1859
207	487	1854
208	488	1849
209	490	1847
210	493	1843
211	494	1839
212	496	1836
213	498	1830
214	499	1824
215	502	1822
216	503	1818
217	504	1811
218	505	1804
219	508	1802
220	509	1797
221	510	1790
222	511	1783
223	513	1779
224	516	1778
225	518	1774
226	520	1771
227	522	1767
228	524	1764
229	526	1763
230	528	1758
231	529	1752
232	530	1746
233	533	1747
234	535	1743
235	536	1737
236	538	1733
237	540	1730
238	542	1725
239	543	1720
240	545	1716
241	547	1714
242	548	1708
243	549	1704
244	552	1701
245	553	1695
246	554	1690
247	556	1688
248	559	1687
249	560	1681
250	562	1678
251	563	1673
252	565	1668
253	566	1663
254	567	1659
255	571	1659
256	582	1685
257	585	1683
258	586	1678
259	588	1675
260	591	1674
261	592	1668
262	595	1668
263	598	1669
264	600	1664
265	601	1661
266	603	1657
267	605	1652
268	607	1650
269	608	1646
270	610	1643
271	612	1639
272	614	1635
273	615	1630
274	616	1624
275	617	1619
276	618	1615
277	620	1610
278	621	1606
279	622	1600
280	623	1595
281	626	1596
282	628	1591
283	629	1586
284	630	1580
285	631	1577
286	633	1573
287	634	1569
288	635	1564
289	637	1559
290	638	1556
291	640	1552
292	641	1548
293	643	1544
294	644	1539
295	645	1535
296	646	1531
297	647	1526
298	649	1521
299	650	1517
300	652	1514
301	653	1509
302	654	1505
303	656	1501
304	657	1498
305	658	1494
306	659	1489
307	661	1485
308	662	1482
309	664	1478
310	665	1475
311	666	1470
312	668	1467
313	669	1463
314	671	1460
315	672	1456
316	674	1452
317	675	1448
318	676	1444
319	677	1440
320	678	1436
321	680	1432
322	681	1429
323	683	1425
324	683	1420
325	685	1417
326	687	1415
327	689	1411
328	690	1407
329	691	1404
330	693	1400
331	695	1398
332	696	1394
333	697	1391
334	699	1388
335	700	1384
336	701	1380
337	702	1376
338	704	1374
339	706	1370
340	707	1366
341	708	1362
342	709	1359
343	712	1357
344	713	1354
345	714	1350
346	715	1346
347	720	1350
348	722	1347
349	724	1344
350	725	1341
351	727	1338
352	728	1335
353	729	1331
354	731	1328
355	732	1324
356	733	1320
357	734	1317
358	736	1314
359	737	1311
